"","name","dict"
"appliedenergistics2:part:9","appliedenergistics2:part:9",""
"appliedenergistics2:part:10","appliedenergistics2:part:10",""
"appliedenergistics2:part:11","appliedenergistics2:part:11",""
"appliedenergistics2:part:12","appliedenergistics2:part:12",""
"appliedenergistics2:part:13","appliedenergistics2:part:13",""
"appliedenergistics2:part:14","appliedenergistics2:part:14",""
"appliedenergistics2:part:15","appliedenergistics2:part:15",""
"appliedenergistics2:part:16","appliedenergistics2:part:16",""
"appliedenergistics2:part:20","appliedenergistics2:part:20",""
"appliedenergistics2:part:21","appliedenergistics2:part:21",""
"appliedenergistics2:part:22","appliedenergistics2:part:22",""
"appliedenergistics2:part:23","appliedenergistics2:part:23",""
"appliedenergistics2:part:24","appliedenergistics2:part:24",""
"appliedenergistics2:part:25","appliedenergistics2:part:25",""
"appliedenergistics2:part:26","appliedenergistics2:part:26",""
"appliedenergistics2:part:27","appliedenergistics2:part:27",""
"appliedenergistics2:part:28","appliedenergistics2:part:28",""
"appliedenergistics2:part:29","appliedenergistics2:part:29",""
"appliedenergistics2:part:30","appliedenergistics2:part:30",""
"appliedenergistics2:part:31","appliedenergistics2:part:31",""
"appliedenergistics2:part:32","appliedenergistics2:part:32",""
"appliedenergistics2:part:33","appliedenergistics2:part:33",""
"appliedenergistics2:part:34","appliedenergistics2:part:34",""
"appliedenergistics2:part:35","appliedenergistics2:part:35",""
"appliedenergistics2:part:36","appliedenergistics2:part:36",""
"appliedenergistics2:part:40","appliedenergistics2:part:40",""
"appliedenergistics2:part:41","appliedenergistics2:part:41",""
"appliedenergistics2:part:42","appliedenergistics2:part:42",""
"appliedenergistics2:part:43","appliedenergistics2:part:43",""
"appliedenergistics2:part:44","appliedenergistics2:part:44",""
"appliedenergistics2:part:45","appliedenergistics2:part:45",""
"appliedenergistics2:part:46","appliedenergistics2:part:46",""
"appliedenergistics2:part:47","appliedenergistics2:part:47",""
"appliedenergistics2:part:48","appliedenergistics2:part:48",""
"appliedenergistics2:part:49","appliedenergistics2:part:49",""
"appliedenergistics2:part:50","appliedenergistics2:part:50",""
"appliedenergistics2:part:51","appliedenergistics2:part:51",""
"appliedenergistics2:part:52","appliedenergistics2:part:52",""
"appliedenergistics2:part:53","appliedenergistics2:part:53",""
"appliedenergistics2:part:54","appliedenergistics2:part:54",""
"appliedenergistics2:part:55","appliedenergistics2:part:55",""
"appliedenergistics2:part:56","appliedenergistics2:part:56",""
"appliedenergistics2:part:60","appliedenergistics2:part:60",""
"appliedenergistics2:part:61","appliedenergistics2:part:61",""
"appliedenergistics2:part:62","appliedenergistics2:part:62",""
"appliedenergistics2:part:63","appliedenergistics2:part:63",""
"appliedenergistics2:part:64","appliedenergistics2:part:64",""
"appliedenergistics2:part:65","appliedenergistics2:part:65",""
"appliedenergistics2:part:66","appliedenergistics2:part:66",""
"appliedenergistics2:part:67","appliedenergistics2:part:67",""
"appliedenergistics2:part:68","appliedenergistics2:part:68",""
"appliedenergistics2:part:69","appliedenergistics2:part:69",""
"appliedenergistics2:part:70","appliedenergistics2:part:70",""
"appliedenergistics2:part:71","appliedenergistics2:part:71",""
"appliedenergistics2:part:72","appliedenergistics2:part:72",""
"appliedenergistics2:part:73","appliedenergistics2:part:73",""
"appliedenergistics2:part:74","appliedenergistics2:part:74",""
"appliedenergistics2:part:75","appliedenergistics2:part:75",""
"appliedenergistics2:part:76","appliedenergistics2:part:76",""
"appliedenergistics2:part:80","appliedenergistics2:part:80",""
"appliedenergistics2:part:100","appliedenergistics2:part:100",""
"appliedenergistics2:part:120","appliedenergistics2:part:120",""
"appliedenergistics2:part:140","appliedenergistics2:part:140",""
"appliedenergistics2:part:160","appliedenergistics2:part:160","itemIlluminatedPanel"
"appliedenergistics2:part:180","appliedenergistics2:part:180","itemIlluminatedPanel"
"appliedenergistics2:part:200","appliedenergistics2:part:200","itemIlluminatedPanel"
"appliedenergistics2:part:220","appliedenergistics2:part:220",""
"appliedenergistics2:part:221","appliedenergistics2:part:221",""
"appliedenergistics2:part:222","appliedenergistics2:part:222",""
"appliedenergistics2:part:240","appliedenergistics2:part:240",""
"appliedenergistics2:part:241","appliedenergistics2:part:241",""
"appliedenergistics2:part:260","appliedenergistics2:part:260",""
"appliedenergistics2:part:261","appliedenergistics2:part:261",""
"appliedenergistics2:part:280","appliedenergistics2:part:280",""
"appliedenergistics2:part:281","appliedenergistics2:part:281",""
"appliedenergistics2:part:300","appliedenergistics2:part:300",""
"appliedenergistics2:part:301","appliedenergistics2:part:301",""
"appliedenergistics2:part:302","appliedenergistics2:part:302",""
"appliedenergistics2:part:320","appliedenergistics2:part:320",""
"appliedenergistics2:part:321","appliedenergistics2:part:321",""
"appliedenergistics2:part:340","appliedenergistics2:part:340",""
"appliedenergistics2:part:341","appliedenergistics2:part:341",""
"appliedenergistics2:part:360","appliedenergistics2:part:360",""
"appliedenergistics2:part:380","appliedenergistics2:part:380",""
"appliedenergistics2:part:400","appliedenergistics2:part:400",""
"appliedenergistics2:part:420","appliedenergistics2:part:420",""
"appliedenergistics2:part:440","Missing[]","Missing[]"
"appliedenergistics2:part:441","Missing[]","Missing[]"
"appliedenergistics2:part:460","appliedenergistics2:part:460",""
"appliedenergistics2:part:461","appliedenergistics2:part:461",""
"appliedenergistics2:part:462","appliedenergistics2:part:462",""
"appliedenergistics2:part:463","appliedenergistics2:part:463",""
"appliedenergistics2:part:467","appliedenergistics2:part:467",""
"appliedenergistics2:part:469","appliedenergistics2:part:469",""
"appliedenergistics2:part:470","appliedenergistics2:part:470",""
"appliedenergistics2:part:480","appliedenergistics2:part:480",""
"appliedenergistics2:part:500","appliedenergistics2:part:500",""
"appliedenergistics2:part:501","appliedenergistics2:part:501",""
"appliedenergistics2:part:502","appliedenergistics2:part:502",""
"appliedenergistics2:part:503","appliedenergistics2:part:503",""
"appliedenergistics2:part:504","appliedenergistics2:part:504",""
"appliedenergistics2:part:505","appliedenergistics2:part:505",""
"appliedenergistics2:part:506","appliedenergistics2:part:506",""
"appliedenergistics2:part:507","appliedenergistics2:part:507",""
"appliedenergistics2:part:508","appliedenergistics2:part:508",""
"appliedenergistics2:part:509","appliedenergistics2:part:509",""
"appliedenergistics2:part:510","appliedenergistics2:part:510",""
"appliedenergistics2:part:511","appliedenergistics2:part:511",""
"appliedenergistics2:part:512","appliedenergistics2:part:512",""
"appliedenergistics2:part:513","appliedenergistics2:part:513",""
"appliedenergistics2:part:514","appliedenergistics2:part:514",""
"appliedenergistics2:part:515","appliedenergistics2:part:515",""
"appliedenergistics2:part:516","appliedenergistics2:part:516",""
"appliedenergistics2:part:520","appliedenergistics2:part:520",""
"appliedenergistics2:part:521","appliedenergistics2:part:521",""
"appliedenergistics2:part:522","appliedenergistics2:part:522",""
"appliedenergistics2:portable_cell:0","appliedenergistics2:portable_cell:0",""
"appliedenergistics2:quantum_link:0","appliedenergistics2:quantum_link:0",""
"appliedenergistics2:quantum_ring:0","appliedenergistics2:quantum_ring:0",""
"appliedenergistics2:quartz_block:0","appliedenergistics2:quartz_block:0",""
"appliedenergistics2:quartz_fixture:0","appliedenergistics2:quartz_fixture:0",""
"appliedenergistics2:quartz_glass:0","appliedenergistics2:quartz_glass:0",""
"appliedenergistics2:quartz_growth_accelerator:0","appliedenergistics2:quartz_growth_accelerator:0",""
"appliedenergistics2:quartz_pillar:0","appliedenergistics2:quartz_pillar:0",""
"appliedenergistics2:quartz_pillar_slab:0","appliedenergistics2:quartz_pillar_slab:0",""
"appliedenergistics2:quartz_pillar_stairs:0","appliedenergistics2:quartz_pillar_stairs:0",""
"appliedenergistics2:quartz_slab:0","appliedenergistics2:quartz_slab:0",""
"appliedenergistics2:quartz_stairs:0","appliedenergistics2:quartz_stairs:0",""
"appliedenergistics2:quartz_vibrant_glass:0","appliedenergistics2:quartz_vibrant_glass:0",""
"appliedenergistics2:security_station:0","appliedenergistics2:security_station:0",""
"appliedenergistics2:sky_compass:0","appliedenergistics2:sky_compass:0",""
"appliedenergistics2:sky_stone_block:0","appliedenergistics2:sky_stone_block:0",""
"appliedenergistics2:sky_stone_brick:0","appliedenergistics2:sky_stone_brick:0",""
"appliedenergistics2:sky_stone_brick_slab:0","appliedenergistics2:sky_stone_brick_slab:0",""
"appliedenergistics2:sky_stone_brick_stairs:0","appliedenergistics2:sky_stone_brick_stairs:0",""
"appliedenergistics2:sky_stone_chest:0","appliedenergistics2:sky_stone_chest:0",""
"appliedenergistics2:sky_stone_slab:0","appliedenergistics2:sky_stone_slab:0",""
"appliedenergistics2:sky_stone_small_brick:0","appliedenergistics2:sky_stone_small_brick:0",""
"appliedenergistics2:sky_stone_small_brick_slab:0","appliedenergistics2:sky_stone_small_brick_slab:0",""
"appliedenergistics2:sky_stone_small_brick_stairs:0","appliedenergistics2:sky_stone_small_brick_stairs:0",""
"appliedenergistics2:sky_stone_stairs:0","appliedenergistics2:sky_stone_stairs:0",""
"appliedenergistics2:smooth_sky_stone_block:0","appliedenergistics2:smooth_sky_stone_block:0",""
"appliedenergistics2:smooth_sky_stone_chest:0","appliedenergistics2:smooth_sky_stone_chest:0",""
"appliedenergistics2:smooth_sky_stone_slab:0","appliedenergistics2:smooth_sky_stone_slab:0",""
"appliedenergistics2:smooth_sky_stone_stairs:0","appliedenergistics2:smooth_sky_stone_stairs:0",""
"appliedenergistics2:spatial_io_port:0","appliedenergistics2:spatial_io_port:0",""
"appliedenergistics2:spatial_pylon:0","appliedenergistics2:spatial_pylon:0",""
"appliedenergistics2:spatial_storage_cell_128_cubed:0","Missing[]","Missing[]"
"appliedenergistics2:spatial_storage_cell_16_cubed:0","Missing[]","Missing[]"
"appliedenergistics2:spatial_storage_cell_2_cubed:0","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_16k:0","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_1k:0","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_4k:0","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_64k:0","Missing[]","Missing[]"
"appliedenergistics2:tiny_tnt:0","appliedenergistics2:tiny_tnt:0",""
"appliedenergistics2:vibration_chamber:0","appliedenergistics2:vibration_chamber:0",""
"appliedenergistics2:view_cell:0","appliedenergistics2:view_cell:0",""
"appliedenergistics2:wireless_access_point:0","appliedenergistics2:wireless_access_point:0",""
"appliedenergistics2:wireless_crafting_terminal:0","appliedenergistics2:wireless_crafting_terminal:0",""
"appliedenergistics2:wireless_fluid_terminal:0","appliedenergistics2:wireless_fluid_terminal:0",""
"appliedenergistics2:wireless_pattern_terminal:0","appliedenergistics2:wireless_pattern_terminal:0",""
"appliedenergistics2:wireless_terminal:0","appliedenergistics2:wireless_terminal:0",""
"actuallyadditions:block_atomic_reconstructor:0","actuallyadditions:block_atomic_reconstructor:0",""
"actuallyadditions:block_battery_box:0","actuallyadditions:block_battery_box:0",""
"actuallyadditions:block_bio_reactor:0","actuallyadditions:block_bio_reactor:0",""
"actuallyadditions:block_black_lotus:0","actuallyadditions:block_black_lotus:0",""
"actuallyadditions:block_breaker:0","actuallyadditions:block_breaker:0",""
"actuallyadditions:block_canola:0","actuallyadditions:block_canola:0",""
"actuallyadditions:block_canola_oil:0","actuallyadditions:block_canola_oil:0",""
"actuallyadditions:block_canola_press:0","actuallyadditions:block_canola_press:0",""
"actuallyadditions:block_chiseled_quartz_slab:0","actuallyadditions:block_chiseled_quartz_slab:0",""
"actuallyadditions:block_chiseled_quartz_stair:0","actuallyadditions:block_chiseled_quartz_stair:0",""
"actuallyadditions:block_chiseled_quartz_wall:0","actuallyadditions:block_chiseled_quartz_wall:0",""
"actuallyadditions:block_coal_generator:0","actuallyadditions:block_coal_generator:0",""
"actuallyadditions:block_coffee:0","actuallyadditions:block_coffee:0",""
"actuallyadditions:block_coffee_machine:0","actuallyadditions:block_coffee_machine:0",""
"actuallyadditions:block_colored_lamp:0","actuallyadditions:block_colored_lamp:0",""
"actuallyadditions:block_colored_lamp:1","actuallyadditions:block_colored_lamp:1",""
"actuallyadditions:block_colored_lamp:2","actuallyadditions:block_colored_lamp:2",""
"actuallyadditions:block_colored_lamp:3","actuallyadditions:block_colored_lamp:3",""
"actuallyadditions:block_colored_lamp:4","actuallyadditions:block_colored_lamp:4",""
"actuallyadditions:block_colored_lamp:5","actuallyadditions:block_colored_lamp:5",""
"actuallyadditions:block_colored_lamp:6","actuallyadditions:block_colored_lamp:6",""
"actuallyadditions:block_colored_lamp:7","actuallyadditions:block_colored_lamp:7",""
"actuallyadditions:block_colored_lamp:8","actuallyadditions:block_colored_lamp:8",""
"actuallyadditions:block_colored_lamp:9","actuallyadditions:block_colored_lamp:9",""
"actuallyadditions:block_colored_lamp:10","actuallyadditions:block_colored_lamp:10",""
"actuallyadditions:block_colored_lamp:11","actuallyadditions:block_colored_lamp:11",""
"actuallyadditions:block_colored_lamp:12","actuallyadditions:block_colored_lamp:12",""
"actuallyadditions:block_colored_lamp:13","actuallyadditions:block_colored_lamp:13",""
"actuallyadditions:block_colored_lamp:14","actuallyadditions:block_colored_lamp:14",""
"actuallyadditions:block_colored_lamp:15","actuallyadditions:block_colored_lamp:15",""
"actuallyadditions:block_colored_lamp_on:0","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:1","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:2","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:3","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:4","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:5","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:6","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:7","astralsorcery:blockobservatory:0",""
"actuallyadditions:block_colored_lamp_on:8","astralsorcery:blockportalnode:0",""
"actuallyadditions:block_colored_lamp_on:9","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:10","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:11","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:12","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:13","astralsorcery:blockstructural:0",""
"actuallyadditions:block_colored_lamp_on:14","Missing[]","Missing[]"
"actuallyadditions:block_colored_lamp_on:15","Missing[]","Missing[]"
"actuallyadditions:block_compost:0","actuallyadditions:block_compost:0",""
"actuallyadditions:block_crystal:0","actuallyadditions:block_crystal:0",""
"actuallyadditions:block_crystal:1","actuallyadditions:block_crystal:1",""
"actuallyadditions:block_crystal:2","actuallyadditions:block_crystal:2",""
"actuallyadditions:block_crystal:3","actuallyadditions:block_crystal:3",""
"actuallyadditions:block_crystal:4","actuallyadditions:block_crystal:4",""
"actuallyadditions:block_crystal:5","actuallyadditions:block_crystal:5",""
"actuallyadditions:block_crystal_cluster_coal:0","actuallyadditions:block_crystal_cluster_coal:0",""
"actuallyadditions:block_crystal_cluster_diamond:0","actuallyadditions:block_crystal_cluster_diamond:0",""
"actuallyadditions:block_crystal_cluster_emerald:0","actuallyadditions:block_crystal_cluster_emerald:0",""
"actuallyadditions:block_crystal_cluster_iron:0","actuallyadditions:block_crystal_cluster_iron:0",""
"actuallyadditions:block_crystal_cluster_lapis:0","actuallyadditions:block_crystal_cluster_lapis:0",""
"actuallyadditions:block_crystal_cluster_redstone:0","actuallyadditions:block_crystal_cluster_redstone:0",""
"actuallyadditions:block_crystal_empowered:0","actuallyadditions:block_crystal_empowered:0",""
"actuallyadditions:block_crystal_empowered:1","actuallyadditions:block_crystal_empowered:1",""
"actuallyadditions:block_crystal_empowered:2","actuallyadditions:block_crystal_empowered:2",""
"actuallyadditions:block_crystal_empowered:3","actuallyadditions:block_crystal_empowered:3",""
"actuallyadditions:block_crystal_empowered:4","actuallyadditions:block_crystal_empowered:4",""
"actuallyadditions:block_crystal_empowered:5","actuallyadditions:block_crystal_empowered:5",""
"actuallyadditions:block_crystal_oil:0","actuallyadditions:block_crystal_oil:0",""
"actuallyadditions:block_directional_breaker:0","actuallyadditions:block_directional_breaker:0",""
"actuallyadditions:block_display_stand:0","actuallyadditions:block_display_stand:0",""
"actuallyadditions:block_dropper:0","actuallyadditions:block_dropper:0",""
"actuallyadditions:block_empowered_oil:0","actuallyadditions:block_empowered_oil:0",""
"actuallyadditions:block_empowerer:0","actuallyadditions:block_empowerer:0",""
"actuallyadditions:block_energizer:0","actuallyadditions:block_energizer:0",""
"actuallyadditions:block_enervator:0","actuallyadditions:block_enervator:0",""
"actuallyadditions:block_farmer:0","actuallyadditions:block_farmer:0",""
"actuallyadditions:block_feeder:0","actuallyadditions:block_feeder:0",""
"actuallyadditions:block_fermenting_barrel:0","actuallyadditions:block_fermenting_barrel:0",""
"actuallyadditions:block_firework_box:0","actuallyadditions:block_firework_box:0",""
"actuallyadditions:block_fishing_net:0","actuallyadditions:block_fishing_net:0",""
"actuallyadditions:block_flax:0","actuallyadditions:block_flax:0",""
"actuallyadditions:block_fluid_collector:0","actuallyadditions:block_fluid_collector:0",""
