"","Name","Ore Dict","Display name"
"ae2fc:part_dual_interface","ae2fc:part_dual_interface:0","","ME Dual Interface"
"ae2fc:part_fluid_pattern_ex_terminal","ae2fc:part_fluid_pattern_ex_terminal:0","","ME Extended Processing Fluid Pattern Terminal"
"ae2fc:part_fluid_pattern_terminal","ae2fc:part_fluid_pattern_terminal:0","","ME Fluid Pattern Terminal"
"ae2fc:ultimate_encoder","ae2fc:ultimate_encoder:0","","ME Ultimate Encoder"
"ae2fc:wireless_fluid_pattern_terminal","ae2fc:wireless_fluid_pattern_terminal:0","","Wireless Fluid Pattern Terminal"
"ae2stuff:grower","ae2stuff:grower:0","","Crystal Growth Chamber"
"ae2stuff:inscriber","ae2stuff:inscriber:0","","Advanced Inscriber"
"ae2stuff:visualiser","ae2stuff:visualiser:0","","Network Visualisation Tool"
"ae2stuff:wireless","ae2stuff:wireless:0","","Wireless Connector"
"ae2stuff:wireless_kit","ae2stuff:wireless_kit:0","","Wireless Setup Kit"
"appliedenergistics2:biometric_card","appliedenergistics2:biometric_card:0","","Biometric Card"
"appliedenergistics2:cable_bus","appliedenergistics2:cable_bus:0","","AE2 Cable and/or Bus"
"appliedenergistics2:cell_workbench","appliedenergistics2:cell_workbench:0","","Cell Workbench"
"appliedenergistics2:certus_quartz_cutting_knife","appliedenergistics2:certus_quartz_cutting_knife:0","itemQuartzKnife","Certus Quartz Cutting Knife"
"appliedenergistics2:certus_quartz_wrench","appliedenergistics2:certus_quartz_wrench:0","itemQuartzWrench","Certus Quartz Wrench"
"appliedenergistics2:charger","appliedenergistics2:charger:0","","Charger"
"appliedenergistics2:chest","appliedenergistics2:chest:0","","ME Chest"
"appliedenergistics2:chiseled_quartz_block","appliedenergistics2:chiseled_quartz_block:0","","Chiseled Certus Quartz Block"
"appliedenergistics2:chiseled_quartz_slab","appliedenergistics2:chiseled_quartz_slab:0","","Chiseled Certus Quartz Slab"
"appliedenergistics2:chiseled_quartz_stairs","appliedenergistics2:chiseled_quartz_stairs:0","","Chiseled Certus Quartz Stairs"
"appliedenergistics2:condenser","appliedenergistics2:condenser:0","","Matter Condenser"
"appliedenergistics2:controller","appliedenergistics2:controller:0","","ME Controller"
"appliedenergistics2:crafting_accelerator","appliedenergistics2:crafting_accelerator:0","","Crafting Co-Processing Unit"
"appliedenergistics2:crafting_monitor","appliedenergistics2:crafting_monitor:0","","Crafting Monitor"
"appliedenergistics2:crafting_storage_16k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_1k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_4k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_64k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:crafting_unit","appliedenergistics2:crafting_unit:0","","Crafting Unit"
"appliedenergistics2:creative_energy_cell","appliedenergistics2:creative_energy_cell:0","","Creative Energy Cell"
"appliedenergistics2:creative_storage_cell","appliedenergistics2:creative_storage_cell:0","","Creative ME Storage Cell"
"appliedenergistics2:crystal_seed","appliedenergistics2:crystal_seed:0","","Certus Quartz Seed"
"appliedenergistics2:crystal_seed:600","appliedenergistics2:crystal_seed:600","","Nether Quartz Seed"
"appliedenergistics2:crystal_seed:1200","appliedenergistics2:crystal_seed:1200","","Fluix Seed"
"appliedenergistics2:dense_energy_cell","appliedenergistics2:dense_energy_cell:0","","Dense Energy Cell"
"appliedenergistics2:drive","appliedenergistics2:drive:0","","ME Drive"
"appliedenergistics2:dummy_fluid_item","appliedenergistics2:dummy_fluid_item:0","","Water"
"appliedenergistics2:encoded_pattern","appliedenergistics2:encoded_pattern:0","","Encoded Pattern"
"appliedenergistics2:energy_acceptor","appliedenergistics2:energy_acceptor:0","","Energy Acceptor"
"appliedenergistics2:energy_cell","appliedenergistics2:energy_cell:0","","Energy Cell"
"appliedenergistics2:facade","appliedenergistics2:facade:0","","Cable Facade - Zyth 1"
"appliedenergistics2:facade:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:fluid_interface","appliedenergistics2:fluid_interface:0","","ME Fluid Interface"
"appliedenergistics2:fluid_storage_cell_16k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_1k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_4k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_64k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:fluix_block","appliedenergistics2:fluix_block:0","","Fluix Block"
"appliedenergistics2:fluix_slab","appliedenergistics2:fluix_slab:0","","Fluix Slab"
"appliedenergistics2:fluix_stairs","appliedenergistics2:fluix_stairs:0","","Fluix Stairs"
"appliedenergistics2:inscriber","appliedenergistics2:inscriber:0","","Inscriber"
"appliedenergistics2:interface","appliedenergistics2:interface:0","","ME Interface"
"appliedenergistics2:io_port","appliedenergistics2:io_port:0","","ME IO Port"
"appliedenergistics2:light_detector","appliedenergistics2:light_detector:0","","Light Detecting Fixture"
"appliedenergistics2:material","appliedenergistics2:material:0","crystalCertusQuartz","Certus Quartz Crystal"
"appliedenergistics2:material:1","appliedenergistics2:material:1","","Charged Certus Quartz Crystal"
"appliedenergistics2:material:2","appliedenergistics2:material:2","dustCertusQuartz","Certus Quartz Dust"
"appliedenergistics2:material:3","appliedenergistics2:material:3","dustNetherQuartz,dustQuartz","Nether Quartz Dust"
"appliedenergistics2:material:4","appliedenergistics2:material:4","dustWheat","Flour"
"appliedenergistics2:material:5","appliedenergistics2:material:5","itemSilicon","Silicon"
"appliedenergistics2:material:6","appliedenergistics2:material:6","","Matter Ball"
"appliedenergistics2:material:7","appliedenergistics2:material:7","crystalFluix","Fluix Crystal"
"appliedenergistics2:material:8","appliedenergistics2:material:8","dustFluix","Fluix Dust"
"appliedenergistics2:material:9","appliedenergistics2:material:9","pearlFluix","Fluix Pearl"
"appliedenergistics2:material:10","appliedenergistics2:material:10","crystalPureCertusQuartz","Pure Certus Quartz Crystal"
"appliedenergistics2:material:11","appliedenergistics2:material:11","crystalPureNetherQuartz","Pure Nether Quartz Crystal"
"appliedenergistics2:material:12","appliedenergistics2:material:12","crystalPureFluix","Pure Fluix Crystal"
"appliedenergistics2:material:13","appliedenergistics2:material:13","","Inscriber Calculation Press"
"appliedenergistics2:material:14","appliedenergistics2:material:14","","Inscriber Engineering Press"
"appliedenergistics2:material:15","appliedenergistics2:material:15","","Inscriber Logic Press"
"appliedenergistics2:material:16","appliedenergistics2:material:16","","Printed Calculation Circuit"
"appliedenergistics2:material:17","appliedenergistics2:material:17","","Printed Engineering Circuit"
"appliedenergistics2:material:18","appliedenergistics2:material:18","","Printed Logic Circuit"
"appliedenergistics2:material:19","appliedenergistics2:material:19","","Inscriber Silicon Press"
"appliedenergistics2:material:20","appliedenergistics2:material:20","","Printed Silicon"
"appliedenergistics2:material:21","appliedenergistics2:material:21","","Inscriber Name Press"
"appliedenergistics2:material:22","appliedenergistics2:material:22","","Logic Processor"
"appliedenergistics2:material:23","appliedenergistics2:material:23","","Calculation Processor"
"appliedenergistics2:material:24","appliedenergistics2:material:24","","Engineering Processor"
"appliedenergistics2:material:25","appliedenergistics2:material:25","","Basic Card"
"appliedenergistics2:material:26","appliedenergistics2:material:26","","Redstone Card"
"appliedenergistics2:material:27","appliedenergistics2:material:27","","Capacity Card"
"appliedenergistics2:material:28","appliedenergistics2:material:28","","Advanced Card"
"appliedenergistics2:material:29","appliedenergistics2:material:29","","Fuzzy Card"
"appliedenergistics2:material:30","appliedenergistics2:material:30","","Acceleration Card"
"appliedenergistics2:material:31","appliedenergistics2:material:31","","Inverter Card"
"appliedenergistics2:material:32","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:33","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:34","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:35","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:36","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:37","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:38","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:39","appliedenergistics2:material:39","","ME Storage Housing"
"appliedenergistics2:material:41","appliedenergistics2:material:41","","Wireless Receiver"
"appliedenergistics2:material:42","appliedenergistics2:material:42","","Wireless Booster"
"appliedenergistics2:material:43","appliedenergistics2:material:43","","Formation Core"
"appliedenergistics2:material:44","appliedenergistics2:material:44","","Annihilation Core"
"appliedenergistics2:material:45","appliedenergistics2:material:45","","Sky Stone Dust"
"appliedenergistics2:material:46","appliedenergistics2:material:46","dustEnder,dustEnderPearl","Ender Dust"
"appliedenergistics2:material:47","appliedenergistics2:material:47","","Singularity"
"appliedenergistics2:material:48","appliedenergistics2:material:48","","Quantum Entangled Singularity"
"appliedenergistics2:material:49","appliedenergistics2:material:49","dustIron","Iron Dust"
"appliedenergistics2:material:51","appliedenergistics2:material:51","dustGold","Gold Dust"
"appliedenergistics2:material:52","appliedenergistics2:material:52","","Blank Pattern"
"appliedenergistics2:material:53","appliedenergistics2:material:53","","Crafting Card"
"appliedenergistics2:material:54","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:55","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:56","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:57","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:material:58","appliedenergistics2:material:58","","Pattern Expansion Card"
"appliedenergistics2:material:59","appliedenergistics2:material:59","","Quantum Link Card"
"appliedenergistics2:material:60","appliedenergistics2:material:60","","Magnet Card"
"appliedenergistics2:material:61","appliedenergistics2:material:61","","Sticky Card"
"appliedenergistics2:matrix_frame","appliedenergistics2:matrix_frame:0","","Matrix Frame"
"appliedenergistics2:matter_cannon","appliedenergistics2:matter_cannon:0","","Matter Cannon"
"appliedenergistics2:memory_card","appliedenergistics2:memory_card:0","","Memory Card"
"appliedenergistics2:molecular_assembler","appliedenergistics2:molecular_assembler:0","","Molecular Assembler"
"appliedenergistics2:nether_quartz_cutting_knife","appliedenergistics2:nether_quartz_cutting_knife:0","itemQuartzKnife","Nether Quartz Cutting Knife"
"appliedenergistics2:nether_quartz_wrench","appliedenergistics2:nether_quartz_wrench:0","itemQuartzWrench","Nether Quartz Wrench"
"appliedenergistics2:network_tool","appliedenergistics2:network_tool:0","","Network Tool"
"appliedenergistics2:part","appliedenergistics2:part:0","","ME Glass Cable - White"
"appliedenergistics2:part:1","appliedenergistics2:part:1","","ME Glass Cable - Orange"
"appliedenergistics2:part:2","appliedenergistics2:part:2","","ME Glass Cable - Magenta"
"appliedenergistics2:part:3","appliedenergistics2:part:3","","ME Glass Cable - Light Blue"
"appliedenergistics2:part:4","appliedenergistics2:part:4","","ME Glass Cable - Yellow"
"appliedenergistics2:part:5","appliedenergistics2:part:5","","ME Glass Cable - Lime"
"appliedenergistics2:part:6","appliedenergistics2:part:6","","ME Glass Cable - Pink"
"appliedenergistics2:part:7","appliedenergistics2:part:7","","ME Glass Cable - Gray"
"appliedenergistics2:part:8","appliedenergistics2:part:8","","ME Glass Cable - Light Gray"
"appliedenergistics2:part:9","appliedenergistics2:part:9","","ME Glass Cable - Cyan"
"appliedenergistics2:part:10","appliedenergistics2:part:10","","ME Glass Cable - Purple"
"appliedenergistics2:part:11","appliedenergistics2:part:11","","ME Glass Cable - Blue"
"appliedenergistics2:part:12","appliedenergistics2:part:12","","ME Glass Cable - Brown"
"appliedenergistics2:part:13","appliedenergistics2:part:13","","ME Glass Cable - Green"
"appliedenergistics2:part:14","appliedenergistics2:part:14","","ME Glass Cable - Red"
"appliedenergistics2:part:15","appliedenergistics2:part:15","","ME Glass Cable - Black"
"appliedenergistics2:part:16","appliedenergistics2:part:16","","ME Glass Cable - Fluix"
"appliedenergistics2:part:20","appliedenergistics2:part:20","","ME Covered Cable - White"
"appliedenergistics2:part:21","appliedenergistics2:part:21","","ME Covered Cable - Orange"
"appliedenergistics2:part:22","appliedenergistics2:part:22","","ME Covered Cable - Magenta"
"appliedenergistics2:part:23","appliedenergistics2:part:23","","ME Covered Cable - Light Blue"
"appliedenergistics2:part:24","appliedenergistics2:part:24","","ME Covered Cable - Yellow"
"appliedenergistics2:part:25","appliedenergistics2:part:25","","ME Covered Cable - Lime"
"appliedenergistics2:part:26","appliedenergistics2:part:26","","ME Covered Cable - Pink"
"appliedenergistics2:part:27","appliedenergistics2:part:27","","ME Covered Cable - Gray"
"appliedenergistics2:part:28","appliedenergistics2:part:28","","ME Covered Cable - Light Gray"
"appliedenergistics2:part:29","appliedenergistics2:part:29","","ME Covered Cable - Cyan"
"appliedenergistics2:part:30","appliedenergistics2:part:30","","ME Covered Cable - Purple"
"appliedenergistics2:part:31","appliedenergistics2:part:31","","ME Covered Cable - Blue"
"appliedenergistics2:part:32","appliedenergistics2:part:32","","ME Covered Cable - Brown"
"appliedenergistics2:part:33","appliedenergistics2:part:33","","ME Covered Cable - Green"
"appliedenergistics2:part:34","appliedenergistics2:part:34","","ME Covered Cable - Red"
"appliedenergistics2:part:35","appliedenergistics2:part:35","","ME Covered Cable - Black"
"appliedenergistics2:part:36","appliedenergistics2:part:36","","ME Covered Cable - Fluix"
"appliedenergistics2:part:40","appliedenergistics2:part:40","","ME Smart Cable - White"
"appliedenergistics2:part:41","appliedenergistics2:part:41","","ME Smart Cable - Orange"
"appliedenergistics2:part:42","appliedenergistics2:part:42","","ME Smart Cable - Magenta"
"appliedenergistics2:part:43","appliedenergistics2:part:43","","ME Smart Cable - Light Blue"
"appliedenergistics2:part:44","appliedenergistics2:part:44","","ME Smart Cable - Yellow"
"appliedenergistics2:part:45","appliedenergistics2:part:45","","ME Smart Cable - Lime"
"appliedenergistics2:part:46","appliedenergistics2:part:46","","ME Smart Cable - Pink"
"appliedenergistics2:part:47","appliedenergistics2:part:47","","ME Smart Cable - Gray"
"appliedenergistics2:part:48","appliedenergistics2:part:48","","ME Smart Cable - Light Gray"
"appliedenergistics2:part:49","appliedenergistics2:part:49","","ME Smart Cable - Cyan"
"appliedenergistics2:part:50","appliedenergistics2:part:50","","ME Smart Cable - Purple"
"appliedenergistics2:part:51","appliedenergistics2:part:51","","ME Smart Cable - Blue"
"appliedenergistics2:part:52","appliedenergistics2:part:52","","ME Smart Cable - Brown"
"appliedenergistics2:part:53","appliedenergistics2:part:53","","ME Smart Cable - Green"
"appliedenergistics2:part:54","appliedenergistics2:part:54","","ME Smart Cable - Red"
"appliedenergistics2:part:55","appliedenergistics2:part:55","","ME Smart Cable - Black"
"appliedenergistics2:part:56","appliedenergistics2:part:56","","ME Smart Cable - Fluix"
"appliedenergistics2:part:60","appliedenergistics2:part:60","","ME Dense Smart Cable - White"
"appliedenergistics2:part:61","appliedenergistics2:part:61","","ME Dense Smart Cable - Orange"
"appliedenergistics2:part:62","appliedenergistics2:part:62","","ME Dense Smart Cable - Magenta"
"appliedenergistics2:part:63","appliedenergistics2:part:63","","ME Dense Smart Cable - Light Blue"
"appliedenergistics2:part:64","appliedenergistics2:part:64","","ME Dense Smart Cable - Yellow"
"appliedenergistics2:part:65","appliedenergistics2:part:65","","ME Dense Smart Cable - Lime"
"appliedenergistics2:part:66","appliedenergistics2:part:66","","ME Dense Smart Cable - Pink"
"appliedenergistics2:part:67","appliedenergistics2:part:67","","ME Dense Smart Cable - Gray"
"appliedenergistics2:part:68","appliedenergistics2:part:68","","ME Dense Smart Cable - Light Gray"
"appliedenergistics2:part:69","appliedenergistics2:part:69","","ME Dense Smart Cable - Cyan"
"appliedenergistics2:part:70","appliedenergistics2:part:70","","ME Dense Smart Cable - Purple"
"appliedenergistics2:part:71","appliedenergistics2:part:71","","ME Dense Smart Cable - Blue"
"appliedenergistics2:part:72","appliedenergistics2:part:72","","ME Dense Smart Cable - Brown"
"appliedenergistics2:part:73","appliedenergistics2:part:73","","ME Dense Smart Cable - Green"
"appliedenergistics2:part:74","appliedenergistics2:part:74","","ME Dense Smart Cable - Red"
"appliedenergistics2:part:75","appliedenergistics2:part:75","","ME Dense Smart Cable - Black"
"appliedenergistics2:part:76","appliedenergistics2:part:76","","ME Dense Smart Cable - Fluix"
"appliedenergistics2:part:80","appliedenergistics2:part:80","","ME Toggle Bus"
"appliedenergistics2:part:100","appliedenergistics2:part:100","","ME Inverted Toggle Bus"
"appliedenergistics2:part:120","appliedenergistics2:part:120","","Cable Anchor"
"appliedenergistics2:part:140","appliedenergistics2:part:140","","Quartz Fiber"
"appliedenergistics2:part:160","appliedenergistics2:part:160","itemIlluminatedPanel","Bright Illuminated Panel"
"appliedenergistics2:part:180","appliedenergistics2:part:180","itemIlluminatedPanel","Illuminated Panel"
"appliedenergistics2:part:200","appliedenergistics2:part:200","itemIlluminatedPanel","Dark Illuminated Panel"
"appliedenergistics2:part:220","appliedenergistics2:part:220","","ME Storage Bus"
"appliedenergistics2:part:221","appliedenergistics2:part:221","","ME Fluid Storage Bus"
"appliedenergistics2:part:222","appliedenergistics2:part:222","","ME OreDict Storage Bus"
"appliedenergistics2:part:240","appliedenergistics2:part:240","","ME Import Bus"
"appliedenergistics2:part:241","appliedenergistics2:part:241","","ME Fluid Import Bus"
"appliedenergistics2:part:260","appliedenergistics2:part:260","","ME Export Bus"
"appliedenergistics2:part:261","appliedenergistics2:part:261","","ME Fluid Export Bus"
"appliedenergistics2:part:280","appliedenergistics2:part:280","","ME Level Emitter"
"appliedenergistics2:part:281","appliedenergistics2:part:281","","ME Fluid Level Emitter"
"appliedenergistics2:part:300","appliedenergistics2:part:300","","ME Annihilation Plane"
"appliedenergistics2:part:301","appliedenergistics2:part:301","","ME Identity Annihilation Plane"
"appliedenergistics2:part:302","appliedenergistics2:part:302","","ME Fluid Annihilation Plane"
"appliedenergistics2:part:320","appliedenergistics2:part:320","","ME Formation Plane"
"appliedenergistics2:part:321","appliedenergistics2:part:321","","ME Fluid Formation Plane"
"appliedenergistics2:part:340","appliedenergistics2:part:340","","ME Pattern Terminal"
"appliedenergistics2:part:341","appliedenergistics2:part:341","","ME Extended Processing Pattern Terminal"
"appliedenergistics2:part:360","appliedenergistics2:part:360","","ME Crafting Terminal"
"appliedenergistics2:part:380","appliedenergistics2:part:380","","ME Terminal"
"appliedenergistics2:part:400","appliedenergistics2:part:400","","ME Storage Monitor"
"appliedenergistics2:part:420","appliedenergistics2:part:420","","ME Conversion Monitor"
"appliedenergistics2:part:440","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:part:441","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:part:460","appliedenergistics2:part:460","","P2P Tunnel - ME"
"appliedenergistics2:part:461","appliedenergistics2:part:461","","P2P Tunnel - Redstone"
"appliedenergistics2:part:462","appliedenergistics2:part:462","","P2P Tunnel - Item"
"appliedenergistics2:part:463","appliedenergistics2:part:463","","P2P Tunnel - Fluid"
"appliedenergistics2:part:467","appliedenergistics2:part:467","","P2P Tunnel - Light"
"appliedenergistics2:part:469","appliedenergistics2:part:469","","P2P Tunnel - FE"
"appliedenergistics2:part:470","appliedenergistics2:part:470","","P2P Tunnel - GTEU"
"appliedenergistics2:part:480","appliedenergistics2:part:480","","ME Interface Terminal"
"appliedenergistics2:part:500","appliedenergistics2:part:500","","ME Dense Covered Cable - White"
"appliedenergistics2:part:501","appliedenergistics2:part:501","","ME Dense Covered Cable - Orange"
"appliedenergistics2:part:502","appliedenergistics2:part:502","","ME Dense Covered Cable - Magenta"
"appliedenergistics2:part:503","appliedenergistics2:part:503","","ME Dense Covered Cable - Light Blue"
"appliedenergistics2:part:504","appliedenergistics2:part:504","","ME Dense Covered Cable - Yellow"
"appliedenergistics2:part:505","appliedenergistics2:part:505","","ME Dense Covered Cable - Lime"
"appliedenergistics2:part:506","appliedenergistics2:part:506","","ME Dense Covered Cable - Pink"
"appliedenergistics2:part:507","appliedenergistics2:part:507","","ME Dense Covered Cable - Gray"
"appliedenergistics2:part:508","appliedenergistics2:part:508","","ME Dense Covered Cable - Light Gray"
"appliedenergistics2:part:509","appliedenergistics2:part:509","","ME Dense Covered Cable - Cyan"
"appliedenergistics2:part:510","appliedenergistics2:part:510","","ME Dense Covered Cable - Purple"
"appliedenergistics2:part:511","appliedenergistics2:part:511","","ME Dense Covered Cable - Blue"
"appliedenergistics2:part:512","appliedenergistics2:part:512","","ME Dense Covered Cable - Brown"
"appliedenergistics2:part:513","appliedenergistics2:part:513","","ME Dense Covered Cable - Green"
"appliedenergistics2:part:514","appliedenergistics2:part:514","","ME Dense Covered Cable - Red"
"appliedenergistics2:part:515","appliedenergistics2:part:515","","ME Dense Covered Cable - Black"
"appliedenergistics2:part:516","appliedenergistics2:part:516","","ME Dense Covered Cable - Fluix"
"appliedenergistics2:part:520","appliedenergistics2:part:520","","ME Fluid Terminal"
"appliedenergistics2:part:521","appliedenergistics2:part:521","","ME Interface Configuration Terminal"
"appliedenergistics2:part:522","appliedenergistics2:part:522","","ME Fluid Interface Configuration Terminal"
"appliedenergistics2:portable_cell","appliedenergistics2:portable_cell:0","","Portable Cell"
"appliedenergistics2:quantum_link","appliedenergistics2:quantum_link:0","","ME Quantum Link Chamber"
"appliedenergistics2:quantum_ring","appliedenergistics2:quantum_ring:0","","ME Quantum Ring"
"appliedenergistics2:quartz_block","appliedenergistics2:quartz_block:0","","Certus Quartz Block"
"appliedenergistics2:quartz_fixture","appliedenergistics2:quartz_fixture:0","","Charged Quartz Fixture"
"appliedenergistics2:quartz_glass","appliedenergistics2:quartz_glass:0","","Quartz Glass"
"appliedenergistics2:quartz_growth_accelerator","appliedenergistics2:quartz_growth_accelerator:0","","Crystal Growth Accelerator"
"appliedenergistics2:quartz_pillar","appliedenergistics2:quartz_pillar:0","","Certus Quartz Pillar"
"appliedenergistics2:quartz_pillar_slab","appliedenergistics2:quartz_pillar_slab:0","","Certus Quartz Pillar Slab"
"appliedenergistics2:quartz_pillar_stairs","appliedenergistics2:quartz_pillar_stairs:0","","Certus Quartz Pillar Stairs"
"appliedenergistics2:quartz_slab","appliedenergistics2:quartz_slab:0","","Certus Quartz Slab"
"appliedenergistics2:quartz_stairs","appliedenergistics2:quartz_stairs:0","","Certus Quartz Stairs"
"appliedenergistics2:quartz_vibrant_glass","appliedenergistics2:quartz_vibrant_glass:0","","Vibrant Quartz Glass"
"appliedenergistics2:security_station","appliedenergistics2:security_station:0","","ME Security Terminal"
"appliedenergistics2:sky_compass","appliedenergistics2:sky_compass:0","","Meteorite Compass"
"appliedenergistics2:sky_stone_block","appliedenergistics2:sky_stone_block:0","","Sky Stone"
"appliedenergistics2:sky_stone_brick","appliedenergistics2:sky_stone_brick:0","","Sky Stone Brick"
"appliedenergistics2:sky_stone_brick_slab","appliedenergistics2:sky_stone_brick_slab:0","","Sky Stone Brick Slab"
"appliedenergistics2:sky_stone_brick_stairs","appliedenergistics2:sky_stone_brick_stairs:0","","Sky Stone Brick Stairs"
"appliedenergistics2:sky_stone_chest","appliedenergistics2:sky_stone_chest:0","","Sky Stone Chest"
"appliedenergistics2:sky_stone_slab","appliedenergistics2:sky_stone_slab:0","","Sky Stone Slab"
"appliedenergistics2:sky_stone_small_brick","appliedenergistics2:sky_stone_small_brick:0","","Sky Stone Small Brick"
"appliedenergistics2:sky_stone_small_brick_slab","appliedenergistics2:sky_stone_small_brick_slab:0","","Sky Stone Small Brick Slab"
"appliedenergistics2:sky_stone_small_brick_stairs","appliedenergistics2:sky_stone_small_brick_stairs:0","","Sky Stone Small Brick Stairs"
"appliedenergistics2:sky_stone_stairs","appliedenergistics2:sky_stone_stairs:0","","Sky Stone Stairs"
"appliedenergistics2:smooth_sky_stone_block","appliedenergistics2:smooth_sky_stone_block:0","","Sky Stone Block"
"appliedenergistics2:smooth_sky_stone_chest","appliedenergistics2:smooth_sky_stone_chest:0","","Sky Stone Block Chest"
"appliedenergistics2:smooth_sky_stone_slab","appliedenergistics2:smooth_sky_stone_slab:0","","Sky Stone Block Slab"
"appliedenergistics2:smooth_sky_stone_stairs","appliedenergistics2:smooth_sky_stone_stairs:0","","Sky Stone Block Stairs"
"appliedenergistics2:spatial_io_port","appliedenergistics2:spatial_io_port:0","","Spatial IO Port"
"appliedenergistics2:spatial_pylon","appliedenergistics2:spatial_pylon:0","","Spatial Pylon"
"appliedenergistics2:spatial_storage_cell_128_cubed:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:spatial_storage_cell_16_cubed:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:spatial_storage_cell_2_cubed:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_16k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_1k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_4k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:storage_cell_64k:0","Missing[]","Missing[]","Missing[]"
"appliedenergistics2:tiny_tnt","appliedenergistics2:tiny_tnt:0","","Tiny TNT"
"appliedenergistics2:vibration_chamber","appliedenergistics2:vibration_chamber:0","","Vibration Chamber"
"appliedenergistics2:view_cell","appliedenergistics2:view_cell:0","","View Cell"
"appliedenergistics2:wireless_access_point","appliedenergistics2:wireless_access_point:0","","ME Wireless Access Point"
"appliedenergistics2:wireless_crafting_terminal","appliedenergistics2:wireless_crafting_terminal:0","","Wireless Crafting Terminal"
